Ticker,Files_Count,Has_Data,Files
JPM,9,Yes,JPM_balance_sheet.csv; JPM_cash_flow.csv; JPM_earnings_dates.csv; JPM_income_statement.csv; JPM_quarterly_balance_sheet.csv; JPM_quarterly_cash_flow.csv; JPM_quarterly_income_statement.csv; JPM_ttm_cash_flow.csv; JPM_ttm_income_statement.csv
KO,9,Yes,KO_balance_sheet.csv; KO_cash_flow.csv; KO_earnings_dates.csv; KO_income_statement.csv; KO_quarterly_balance_sheet.csv; KO_quarterly_cash_flow.csv; KO_quarterly_income_statement.csv; KO_ttm_cash_flow.csv; KO_ttm_income_statement.csv
LLY,9,Yes,LLY_balance_sheet.csv; LLY_cash_flow.csv; LLY_earnings_dates.csv; LLY_income_statement.csv; LLY_quarterly_balance_sheet.csv; LLY_quarterly_cash_flow.csv; LLY_quarterly_income_statement.csv; LLY_ttm_cash_flow.csv; LLY_ttm_income_statement.csv
LVMUY,5,Yes,LVMUY_balance_sheet.csv; LVMUY_cash_flow.csv; LVMUY_earnings_dates.csv; LVMUY_income_statement.csv; LVMUY_quarterly_balance_sheet.csv
MA,9,Yes,MA_balance_sheet.csv; MA_cash_flow.csv; MA_earnings_dates.csv; MA_income_statement.csv; MA_quarterly_balance_sheet.csv; MA_quarterly_cash_flow.csv; MA_quarterly_income_statement.csv; MA_ttm_cash_flow.csv; MA_ttm_income_statement.csv
MCD,9,Yes,MCD_balance_sheet.csv; MCD_cash_flow.csv; MCD_earnings_dates.csv; MCD_income_statement.csv; MCD_quarterly_balance_sheet.csv; MCD_quarterly_cash_flow.csv; MCD_quarterly_income_statement.csv; MCD_ttm_cash_flow.csv; MCD_ttm_income_statement.csv
META,9,Yes,META_balance_sheet.csv; META_cash_flow.csv; META_earnings_dates.csv; META_income_statement.csv; META_quarterly_balance_sheet.csv; META_quarterly_cash_flow.csv; META_quarterly_income_statement.csv; META_ttm_cash_flow.csv; META_ttm_income_statement.csv
MS,9,Yes,MS_balance_sheet.csv; MS_cash_flow.csv; MS_earnings_dates.csv; MS_income_statement.csv; MS_quarterly_balance_sheet.csv; MS_quarterly_cash_flow.csv; MS_quarterly_income_statement.csv; MS_ttm_cash_flow.csv; MS_ttm_income_statement.csv
MSFT,9,Yes,MSFT_balance_sheet.csv; MSFT_cash_flow.csv; MSFT_earnings_dates.csv; MSFT_income_statement.csv; MSFT_quarterly_balance_sheet.csv; MSFT_quarterly_cash_flow.csv; MSFT_quarterly_income_statement.csv; MSFT_ttm_cash_flow.csv; MSFT_ttm_income_statement.csv
NFLX,8,Yes,NFLX_balance_sheet.csv; NFLX_earnings_dates.csv; NFLX_income_statement.csv; NFLX_quarterly_balance_sheet.csv; NFLX_quarterly_cash_flow.csv; NFLX_quarterly_income_statement.csv; NFLX_ttm_cash_flow.csv; NFLX_ttm_income_statement.csv
NVDA,9,Yes,NVDA_balance_sheet.csv; NVDA_cash_flow.csv; NVDA_earnings_dates.csv; NVDA_income_statement.csv; NVDA_quarterly_balance_sheet.csv; NVDA_quarterly_cash_flow.csv; NVDA_quarterly_income_statement.csv; NVDA_ttm_cash_flow.csv; NVDA_ttm_income_statement.csv
NVS,9,Yes,NVS_balance_sheet.csv; NVS_cash_flow.csv; NVS_earnings_dates.csv; NVS_income_statement.csv; NVS_quarterly_balance_sheet.csv; NVS_quarterly_cash_flow.csv; NVS_quarterly_income_statement.csv; NVS_ttm_cash_flow.csv; NVS_ttm_income_statement.csv
ORCL,9,Yes,ORCL_balance_sheet.csv; ORCL_cash_flow.csv; ORCL_earnings_dates.csv; ORCL_income_statement.csv; ORCL_quarterly_balance_sheet.csv; ORCL_quarterly_cash_flow.csv; ORCL_quarterly_income_statement.csv; ORCL_ttm_cash_flow.csv; ORCL_ttm_income_statement.csv
PG,9,Yes,PG_balance_sheet.csv; PG_cash_flow.csv; PG_earnings_dates.csv; PG_income_statement.csv; PG_quarterly_balance_sheet.csv; PG_quarterly_cash_flow.csv; PG_quarterly_income_statement.csv; PG_ttm_cash_flow.csv; PG_ttm_income_statement.csv
PLTR,9,Yes,PLTR_balance_sheet.csv; PLTR_cash_flow.csv; PLTR_earnings_dates.csv; PLTR_income_statement.csv; PLTR_quarterly_balance_sheet.csv; PLTR_quarterly_cash_flow.csv; PLTR_quarterly_income_statement.csv; PLTR_ttm_cash_flow.csv; PLTR_ttm_income_statement.csv
PM,9,Yes,PM_balance_sheet.csv; PM_cash_flow.csv; PM_earnings_dates.csv; PM_income_statement.csv; PM_quarterly_balance_sheet.csv; PM_quarterly_cash_flow.csv; PM_quarterly_income_statement.csv; PM_ttm_cash_flow.csv; PM_ttm_income_statement.csv
QQQ,1,Yes,QQQ_earnings_dates.csv
RHHBY,5,Yes,RHHBY_balance_sheet.csv; RHHBY_cash_flow.csv; RHHBY_earnings_dates.csv; RHHBY_income_statement.csv; RHHBY_quarterly_balance_sheet.csv
SAP,9,Yes,SAP_balance_sheet.csv; SAP_cash_flow.csv; SAP_earnings_dates.csv; SAP_income_statement.csv; SAP_quarterly_balance_sheet.csv; SAP_quarterly_cash_flow.csv; SAP_quarterly_income_statement.csv; SAP_ttm_cash_flow.csv; SAP_ttm_income_statement.csv
SPY,1,Yes,SPY_earnings_dates.csv
TM,9,Yes,TM_balance_sheet.csv; TM_cash_flow.csv; TM_earnings_dates.csv; TM_income_statement.csv; TM_quarterly_balance_sheet.csv; TM_quarterly_cash_flow.csv; TM_quarterly_income_statement.csv; TM_ttm_cash_flow.csv; TM_ttm_income_statement.csv
TMUS,9,Yes,TMUS_balance_sheet.csv; TMUS_cash_flow.csv; TMUS_earnings_dates.csv; TMUS_income_statement.csv; TMUS_quarterly_balance_sheet.csv; TMUS_quarterly_cash_flow.csv; TMUS_quarterly_income_statement.csv; TMUS_ttm_cash_flow.csv; TMUS_ttm_income_statement.csv
TSLA,9,Yes,TSLA_balance_sheet.csv; TSLA_cash_flow.csv; TSLA_earnings_dates.csv; TSLA_income_statement.csv; TSLA_quarterly_balance_sheet.csv; TSLA_quarterly_cash_flow.csv; TSLA_quarterly_income_statement.csv; TSLA_ttm_cash_flow.csv; TSLA_ttm_income_statement.csv
TSM,9,Yes,TSM_balance_sheet.csv; TSM_cash_flow.csv; TSM_earnings_dates.csv; TSM_income_statement.csv; TSM_quarterly_balance_sheet.csv; TSM_quarterly_cash_flow.csv; TSM_quarterly_income_statement.csv; TSM_ttm_cash_flow.csv; TSM_ttm_income_statement.csv
V,9,Yes,V_balance_sheet.csv; V_cash_flow.csv; V_earnings_dates.csv; V_income_statement.csv; V_quarterly_balance_sheet.csv; V_quarterly_cash_flow.csv; V_quarterly_income_statement.csv; V_ttm_cash_flow.csv; V_ttm_income_statement.csv
VTI,0,No,
WFC,9,Yes,WFC_balance_sheet.csv; WFC_cash_flow.csv; WFC_earnings_dates.csv; WFC_income_statement.csv; WFC_quarterly_balance_sheet.csv; WFC_quarterly_cash_flow.csv; WFC_quarterly_income_statement.csv; WFC_ttm_cash_flow.csv; WFC_ttm_income_statement.csv
WMT,9,Yes,WMT_balance_sheet.csv; WMT_cash_flow.csv; WMT_earnings_dates.csv; WMT_income_statement.csv; WMT_quarterly_balance_sheet.csv; WMT_quarterly_cash_flow.csv; WMT_quarterly_income_statement.csv; WMT_ttm_cash_flow.csv; WMT_ttm_income_statement.csv
XOM,8,Yes,XOM_cash_flow.csv; XOM_earnings_dates.csv; XOM_income_statement.csv; XOM_quarterly_balance_sheet.csv; XOM_quarterly_cash_flow.csv; XOM_quarterly_income_statement.csv; XOM_ttm_cash_flow.csv; XOM_ttm_income_statement.csv
